Date,Plant_ID,Growth_Stage,Weather_Condition,Max_Temp_C,Min_Temp_C,Sunlight_Hours,Precipitation_mm,Humidity_Percent,Daily_Observation_Notes,Soil_Moisture_Percent
2024/04/03,2,开花期,晴,25.4,16.6,13.7,0.6,66,花苞逐渐膨大。,58
2024/04/04,2,开花期,晴,25.2,16.4,13.7,0.5,60,第一朵花开放，颜色鲜黄。,57
2024/04/05,2,开花期,晴,26.1,17.3,14.2,0,62,日照充足，湿度合适，有利于授粉。,58
2024/04/06,2,开花期,多云,25.0,17.3,8.6,0.7,69,同一花序上有多朵花开放。,59
2024/04/07,2,开花期,晴,25.4,16.6,14.1,0,66,天气晴好，轻摇植株辅助授粉。,59
2024/04/08,2,开花期,晴,24.5,15.8,14.6,0,63,第二穗花序开始显现。,57
2024/04/09,2,坐果期,晴,26.5,17.7,14.3,0.6,59,第一穗花序中，部分花朵凋谢，子房开始膨大，坐果成功。,60
2024/04/10,2,坐果期,晴,25.6,16.9,13.8,0,61,小番茄如绿豆大小，清晰可见。,52
2024/04/11,2,坐果期,多云,24.5,16.7,9.6,0.6,65,第二穗花序开花。,62
2024/04/12,2,坐果期,晴,26.2,17.6,14.3,0,63,第一穗果实继续膨大，追施磷钾肥。,60
2024/04/13,2,坐果期,晴,25.9,17.4,14.5,0,61,植株生长和果实膨大都需要大量水分，保持土壤湿润。,68
2024/04/14,2,坐果期,晴,25.8,17.3,14.9,0,66,第二穗花序授粉坐果。,57
2024/04/15,2,果实膨大期,晴,26.4,17.9,15.1,0,61,第一穗果实已有拇指大小，表面光滑。,54
2024/04/16,2,果实膨大期,晴,27.0,18.4,14.6,0,55,第三穗花序出现。,53
2024/04/17,2,果实膨大期,多云,26.6,19.2,9.8,0,64,果实膨大期，需水量大。,66
2024/04/18,2,果实膨大期,小雨,25.0,19.3,5.3,5.9,89,下雨，湿度高，注意通风，防止病害。,88
2024/04/19,2,果实膨大期,阴,25.2,19.2,3.2,0.3,89,持续阴雨，光照不足，可能会影响果实糖分积累。,69
2024/04/20,2,果实膨大期,晴,27.0,18.5,14.5,0.6,72,雨过天晴，光照恢复，叶片精神。,60
2024/04/21,2,果实膨大期,晴,28.6,20.2,14.7,1.0,72,第一穗果实快速膨大，第二穗果实也进入膨大期。,62
2024/04/22,2,果实膨大期,晴,27.6,19.2,15.0,0.7,70,果实大小接近乒乓球，果色翠绿。,54
2024/04/23,2,果实膨大期,晴,27.9,19.6,15.0,0,69,第三穗花序盛开。,55
2024/04/24,2,果实膨大期,晴,28.1,19.9,15.4,0,70,定期修剪老叶和侧枝，保证通风透光。,55
2024/04/25,2,果实膨大期,多云,27.3,20.0,10.3,0.4,74,植株长势良好，各层次果、花、蕾并存。,62
2024/04/26,2,果实膨大期,晴,29.5,21.4,15.3,0,70,第一穗果实已基本定型，等待转色。,59
2024/04/27,2,果实膨大期,晴,28.7,20.7,16.0,0,72,第四穗花序出现。,61
2024/04/28,2,转色期,晴,28.5,20.5,15.3,0,64,第一穗果实顶部（果脐）开始发白，进入转色期。,54
2024/04/29,2,转色期,晴,29.2,21.2,15.8,1.0,61,果实由绿变白，部分开始泛黄。,57
2024/04/30,2,转色期,晴,31.1,23.2,15.6,0.3,60,果实出现粉红色。,59
2024/05/01,2,成熟期,晴,30.8,22.8,16,0,64,第一穗的第一颗果实完全变红，达到采收标准。,55
2024/05/02,2,采收期,晴,30.0,22.0,16,0.3,62,采收第一颗成熟番茄。同穗其他果实陆续转红。,55
2024/05/03,2,采收期,多云,29.4,22.5,10.5,0.7,74,第二颗果实成熟，进行采收。,64
2024/05/04,2,采收期,晴,30.0,22.2,16,0,65,第二穗果实开始转色。,56
2024/05/05,2,采收期,晴,29.8,22.1,15.9,0,67,第一穗果实采收完毕，剪除果穗。,57
2024/05/06,2,采收期,晴,31.1,23.4,16,0,62,植株持续开花结果，第五穗花序出现。,54
2024/05/07,2,采收期,晴,31.9,24.1,16,0.3,65,第二穗果实成熟，开始采收。,60
2024/05/08,2,采收期,多云,30.6,23.9,11.1,0.8,65,第三穗果实进入快速膨大期。,63
2024/05/09,2,采收期,晴,32.6,25.1,16,0,61,气温逐渐升高，增加浇水频率。,68
2024/05/10,2,采收期,晴,31.5,24.1,16,0.3,66,生长与采收交替进行，植株负担较重，补充均衡肥。,57
2024/05/11,2,采收期,晴,31.6,24.1,16,0,60,第二穗果实采收完毕。,57
2024/05/12,2,采收期,雷阵雨,29.4,22.4,8.1,16.3,90,突发雷阵雨，风力较大，检查植株是否牢固。,95
2024/05/13,2,采收期,晴,32.8,24.0,16,0.4,72,雨后天晴，暴晒可能导致叶片灼伤，注意观察。,59
2024/11/09,2,拉秧期,晴,13.6,3.6,8.7,0,63,清理完成，准备土壤翻新，为来年做准备。,55
2024/03/01,3,播种期,晴,14.2,4.0,9.7,0,62,种子已播种于育苗盘，土壤湿润。,70
2024/03/02,3,播种期,晴,16.3,6.0,9.9,0.6,52,育苗环境温度稳定，等待发芽。,60
2024/03/03,3,播种期,多云,15.7,7.4,5.7,0,61,土壤表面保持湿润，无变化。,61
2024/03/04,3,播种期,小雨,14.1,7.7,1.8,4.4,82,空气湿度增大，检查育苗盘排水情况。,79
2024/03/05,3,播种期,阴,14.3,8.1,1.5,0.6,81,天气阴沉，光照严重不足。,71
2024/03/06,3,播种期,晴,16.4,6.8,10.0,0.8,67,天气转好，土壤湿度适中。,62
2024/03/07,3,播种期,晴,17.1,7.3,10.4,0.2,69,继续观察，部分种子有萌动迹象。,55
2024/03/08,3,播种期,晴,17.5,7.8,10.5,0.7,65,无明显变化。,55
2024/03/09,3,发芽期,晴,18.6,8.8,10.8,0,65,种子破土，观察到嫩芽。,57
2024/03/10,3,发芽期,晴,16.8,7.0,10.5,0,61,子叶展开。,55
2024/03/11,3,发芽期,晴,19.0,9.2,11.1,0.8,62,幼苗生长健康。,60
2024/03/12,3,幼苗期,晴,17.9,8.1,11.4,0,61,开始长出第一片真叶。,61
2024/03/13,3,幼苗期,多云,19.0,10.6,7.4,0.6,73,真叶生长中。,63
2024/03/14,3,幼苗期,晴,19.1,9.1,11.7,0.2,70,真叶持续生长。,55
2024/03/15,3,幼苗期,晴,20.1,10.2,12.1,0,59,第二片真叶开始显现。,62
2024/03/16,3,幼苗期,晴,19.8,10.1,11.6,0.0,59,幼苗生长健壮。,56
2024/03/17,3,幼苗期,晴,19.7,9.9,12.6,0,62,准备移栽。,59
2024/03/18,3,幼苗期,晴,20.4,10.6,12.6,0,64,已移栽至大盆中，浇透定根水。,55
2024/03/19,3,幼苗期,多云,19.5,11.1,8.4,0.9,71,移栽后第一天，缓苗中。,68
2024/03/20,3,幼苗期,晴,21.3,11.6,13.0,0.0,68,缓苗顺利，植株状态稳定。,57
2024/03/21,3,营养生长期,晴,21.1,11.3,12.2,0.3,58,缓苗成功，进入营养生长期。,53
2024/03/22,3,营养生长期,晴,20.9,11.3,12.5,0,61,新叶生长速度加快。,54
2024/03/23,3,营养生长期,晴,21.8,12.3,12.7,0,62,植株生长旺盛。,56
2024/03/24,3,营养生长期,多云,21.0,12.5,8.8,0,63,进行了第一次追肥。,62
2024/03/25,3,营养生长期,晴,23.5,13.9,12.6,0.7,64,追肥效果良好，叶片肥大。,57
2024/03/26,3,营养生长期,晴,22.1,12.5,13.3,0,64,植株生长速度快。,54
2024/03/27,3,营养生长期,晴,22.6,13.1,13.4,0.2,61,植株高度接近20厘米。,61
2024/03/28,3,营养生长期,晴,23.6,14.0,13.2,0,65,开始搭设支架。,59
2024/03/29,3,营养生长期,小雨,21.0,13.5,4.0,5.3,82,侧芽萌发，已摘除。,84
2024/03/30,3,营养生长期,多云,21.3,13.6,7.5,0,76,下雨天，暂停浇水。,68
2024/03/31,3,营养生长期,晴,22.7,13.7,13.3,0,71,天气转晴，植株生长旺盛。,59
2024/04/01,3,营养生长期,晴,24.9,16.0,13.5,1.0,67,生长状态良好。,57
2024/04/02,3,营养生长期,晴,24.2,15.5,13.2,0,70,观察到微小花蕾。,61
2024/04/03,3,开花期,晴,23.9,15.1,13.5,0.3,66,第一穗花序抽出。,55
2024/04/04,3,开花期,晴,25.2,16.4,14.1,0.2,61,花苞膨大中。,58
2024/04/05,3,开花期,晴,24.4,15.6,13.8,0,62,第一朵花开放。,58
2024/04/06,3,开花期,多云,25.1,17.4,8.8,0.6,65,花朵陆续开放。,67
2024/04/07,3,开花期,晴,24.8,16.0,14.4,0,60,轻摇植株辅助授粉。,56
2024/04/08,3,开花期,晴,24.7,16.0,14.5,0,65,第一穗花序盛开。,54
2024/04/09,3,开花期,晴,27.2,18.4,14.1,0,64,第二穗花序开始显现。,56
2024/04/10,3,坐果期,晴,25.2,16.5,14.5,0.3,58,第一穗花序坐果成功，子房膨大。,61
2024/04/11,3,坐果期,多云,25.9,18.1,9.7,0.9,73,小番茄生长中。,65
2024/04/12,3,坐果期,晴,27.5,18.9,14.1,0,65,第二穗花序开花。,53
2024/04/13,3,坐果期,晴,27.7,19.2,14.2,0.2,67,追施磷钾肥，促进果实膨大。,61
2024/04/14,3,坐果期,晴,26.4,17.9,14.3,0,66,浇水保持土壤湿润。,65
2024/04/15,3,坐果期,晴,27.9,19.4,14.8,0,63,第二穗花序授粉坐果。,55
2024/04/16,3,果实膨大期,晴,28.2,19.6,14.6,0,60,第一穗果实拇指大小。,58
2024/04/17,3,果实膨大期,多云,26.7,19.3,10.3,0.4,63,第三穗花序出现。,65
2024/04/18,3,果实膨大期,小雨,26.0,20.3,4.9,7.6,84,需水量大，逢雨可省去浇水。,94
2024/04/19,3,果实膨大期,阴,26.3,20.3,2.7,0.6,89,注意通风，防止病害。,69
2024/04/20,3,果实膨大期,晴,27.0,18.5,15.0,0.7,77,天气转好，光照恢复。,61
2024/04/21,3,果实膨大期,晴,29.0,20.6,15.0,0,67,果实膨大速度加快。,57
2024/04/22,3,果实膨大期,晴,27.2,18.8,15.4,0.0,67,第二穗果实进入膨大期。,57
2024/04/23,3,果实膨大期,晴,28.4,20.1,15.4,0,64,果实大小如乒乓球。,56
2024/04/24,3,果实膨大期,晴,29.6,21.4,15.4,0.3,64,第三穗花序盛开。,60
2024/04/25,3,果实膨大期,多云,27.2,19.9,10.3,0,76,修剪侧枝和老叶。,67
2024/04/26,3,果实膨大期,晴,29.0,20.9,15.9,0.7,70,植株状态健康。,63
2024/04/27,3,果实膨大期,晴,29.7,21.7,16.0,0.2,70,第一穗果实已定型。,57
2024/04/28,3,果实膨大期,晴,28.6,20.6,15.2,0,67,第四穗花序出现。,52
2024/04/29,3,转色期,晴,28.6,20.6,15.8,0,64,第一穗果实果脐发白，开始转色。,54
2024/04/30,3,转色期,晴,29.7,21.8,16,0,60,果实开始泛黄。,58
2024/05/01,3,转色期,晴,29.0,21.0,15.9,0,65,果实出现粉红色。,52
2024/05/02,3,成熟期,晴,31.4,23.4,16,0,59,第一颗果实完全变红。,60
2024/05/03,3,采收期,多云,30.3,23.4,10.7,0,73,采收成熟番茄。,60
2024/05/04,3,采收期,晴,30.1,22.3,15.9,0,67,第一穗果实采收完毕。,54
2024/05/05,3,果实膨大期,晴,30.9,23.2,16,0.2,60,第二穗果实开始转色。,58
2024/05/06,3,转色期,晴,32.2,24.5,16,0,66,第二穗果实转红。,54
2024/05/07,3,成熟期,晴,31.6,23.8,16,0,66,第二穗果实成熟。,55
2024/05/08,3,采收期,多云,30.4,23.7,11.2,0.3,66,采收第二穗果实。,66
2024/05/09,3,采收期,晴,31.9,24.4,16,0,61,增加浇水频率。,70
2024/05/10,3,采收期,晴,31.1,23.7,16,0.2,67,补充均衡肥。,61
2024/05/11,3,采收期,晴,31.6,24.1,16,0,65,第二穗果实采收完毕。,55
2024/05/12,3,果实膨大期,雷阵雨,29.4,22.4,8.0,15.0,84,雷阵雨天气，检查植株。,95
2024/05/13,3,转色期,晴,32.0,23.2,16,0.0,76,第三穗果实开始转色。,57
2024/11/09,3,拉秧期,晴,14.1,4.1,8.2,0.7,61,清理完成，准备土壤翻新，为来年做准备。,57
2024/03/01,4,播种期,晴,16.3,6.1,9.4,0,61,种子已播种于育苗盘，土壤湿润。,64
2024/03/02,4,播种期,晴,16.6,6.3,9.6,0,54,育苗环境温度稳定，等待发芽。,56
2024/03/03,4,播种期,多云,15.3,7.0,6.2,0,63,土壤表面保持湿润，无变化。,67
2024/03/04,4,播种期,小雨,13.5,7.1,2.4,4.0,85,空气湿度增大，检查育苗盘排水情况。,80
2024/03/05,4,播种期,阴,14.1,7.9,1.5,1.0,88,天气阴沉，光照严重不足。,69
2024/03/06,4,播种期,晴,16.5,6.9,9.5,0.7,66,天气转好，土壤湿度适中。,63
2024/03/07,4,播种期,晴,17.3,7.5,9.8,0.5,68,继续观察，部分种子有萌动迹象。,61
2024/03/08,4,播种期,晴,17.2,7.5,10.8,0.9,67,无明显变化。,59
2024/03/09,4,播种期,晴,18.7,8.9,10.5,0.1,65,无明显变化。,55
2024/03/10,4,发芽期,晴,17.0,7.2,10.7,0.3,63,种子破土，观察到嫩芽。,61
2024/03/11,4,发芽期,晴,17.5,7.7,11.4,0,62,子叶展开。,58
2024/03/12,4,幼苗期,晴,18.6,8.8,11.3,0.3,59,开始长出第一片真叶。,54
2024/03/13,4,幼苗期,多云,17.4,9.0,7.4,0,68,真叶生长中。,63
2024/03/14,4,幼苗期,晴,18.8,8.8,11.6,0.4,68,真叶持续生长。,56
2024/03/15,4,幼苗期,晴,19.6,9.7,12.1,0,65,第二片真叶开始显现。,60
2024/03/16,4,幼苗期,晴,20.4,10.7,12.3,0.3,58,幼苗生长健壮。,58
2024/03/17,4,幼苗期,晴,19.6,9.8,12.7,0,58,准备移栽。,54
2024/03/18,4,幼苗期,晴,20.5,10.7,11.7,0,61,已移栽至大盆中，浇透定根水。,52
2024/03/19,4,幼苗期,多云,19.2,10.8,7.5,0,69,移栽后第一天，缓苗中。,62
2024/03/20,4,幼苗期,晴,20.5,10.8,12.3,0.0,63,缓苗顺利，植株状态稳定。,58
2024/03/21,4,营养生长期,晴,21.5,11.7,12.5,0.9,67,缓苗成功，进入营养生长期。,60
2024/03/22,4,营养生长期,晴,21.5,11.9,12.6,0.2,60,新叶生长速度加快。,54
2024/03/23,4,营养生长期,晴,21.2,11.7,13.1,0,57,植株生长旺盛。,61
2024/03/24,4,营养生长期,多云,22.4,13.9,8.6,0,70,进行了第一次追肥。,58
2024/03/25,4,营养生长期,晴,22.4,12.8,12.8,0.6,70,追肥效果良好，叶片肥大。,54
2024/03/26,4,营养生长期,晴,22.0,12.4,13.3,0.0,68,植株生长速度快。,53
2024/03/27,4,营养生长期,晴,23.1,13.6,13.5,0,60,植株高度接近20厘米。,58
2024/03/28,4,营养生长期,晴,24.0,14.4,12.9,0.2,63,开始搭设支架。,58
2024/03/29,4,营养生长期,小雨,21.5,14.0,4.5,5.9,80,侧芽萌发，已摘除。,85
2024/03/30,4,营养生长期,多云,22.9,15.2,7.7,0.6,72,下雨天，暂停浇水。,67
2024/03/31,4,营养生长期,晴,25.0,16.0,13.2,0.1,72,天气转晴，植株生长旺盛。,60
2024/04/01,4,营养生长期,晴,24.8,15.9,13.3,0.6,65,生长状态良好。,63
2024/04/02,4,营养生长期,晴,23.9,15.2,13.9,0,62,观察到微小花蕾。,54
2024/04/03,4,开花期,晴,25.1,16.3,14.1,1.0,65,第一穗花序抽出。,55
2024/04/04,4,开花期,晴,25.5,16.7,13.7,0,59,花苞膨大中。,57
2024/04/05,4,开花期,晴,26.1,17.3,13.8,0.5,57,第一朵花开放。,58
2024/04/06,4,开花期,多云,23.7,16.0,9.4,0.8,67,花朵陆续开放。,60
2024/04/07,4,开花期,晴,24.7,15.9,14.0,0.3,61,轻摇植株辅助授粉。,55
2024/04/08,4,开花期,晴,26.9,18.2,14.5,0,68,第一穗花序盛开。,60
2024/04/09,4,开花期,晴,25.6,16.8,14.6,0.8,62,第二穗花序开始显现。,60
2024/04/10,4,坐果期,晴,25.9,17.2,14.5,0.8,66,第一穗花序坐果成功，子房膨大。,58
